User,Tweet ID,Time,Text
ahmedjl2x,1447818604989206529,2021-10-12 06:57:09+00:00,Late from the trend but still wanna try...my edit entry... #twice #SquidGames  #sana #Sanaonsquidgame #twicesana… https://t.co/dpb1Hkcmca
ahmedjl2x,1447818588065345536,2021-10-12 06:57:05+00:00,The whole game could have been avoided ☠️ #SquidGame #SquidGames https://t.co/OtPzWkq7Lj
ahmedjl2x,1447818388693213184,2021-10-12 06:56:17+00:00,I've just watched episode S01 | E08 of Squid Game! #squidgames #tvtime https://t.co/83BtQGgw5F #tvtime https://t.co/FTrV18QoAV
ahmedjl2x,1447818211085275138,2021-10-12 06:55:35+00:00,Late from the trend but still wanna try...my edit entry... #twice #SquidGames  #NAYEON #nayeononsquidgame… https://t.co/FLEhuiqaGq
ahmedjl2x,1447817947913859077,2021-10-12 06:54:32+00:00,"There are already more than 10 games on SQUID GAMES, on Play Store!💯
#SquidGame #SquidGames #mobilegames"
ahmedjl2x,1447817808562188288,2021-10-12 06:53:59+00:00,Late from the trend but still wanna try...my edit entry... #twice #SquidGames  #Mina #Minaonsquidgame #twicemina… https://t.co/3rgmD9teoy
ahmedjl2x,1447817788979044353,2021-10-12 06:53:54+00:00,"I Hated This Show At First. Horrible Acting, But #SquidGames Got Me In A ChokeholdI Wanna Go To Bed But I Gotsta Finish This."
ahmedjl2x,1447817596141637637,2021-10-12 06:53:08+00:00,@kennthedegen Amazing Job again! @mmccsolana love the  @TrippyBunnyNFT @0x_fxnction !! Trippy bunny NFTs require a… https://t.co/OuVAH3CQuB
ahmedjl2x,1447817226132725762,2021-10-12 06:51:40+00:00,"Whoever created squid games 
GO
TO
HELL .
#SquidGames #SquidGamesNetflix #whackassending"
ahmedjl2x,1447817057228115970,2021-10-12 06:51:00+00:00,"Una nueva y contundente patada a la proverbial piedra bajo la que se esconden trillones de expertos.
#TAV… https://t.co/bPz92BYp8Y"
ahmedjl2x,1447816973522333698,2021-10-12 06:50:40+00:00,OK BUT IMAGINE IF A DANCE TEAM DOES THESE OUTFITS FOR A DANCE VIDEO AND THEN AT THE END ONE TAKES OFF THE MASK AND… https://t.co/fjc2yCB6SG
