User,Tweet ID,Time,Text
ahmedjl2x,1.45E+18,2021-10-12 06:57:09+00:00,Late from the trend but still wanna try...my edit entry... #twice #SquidGames  #sana #Sanaonsquidgame #twicesana… https://t.co/dpb1Hkcmca
ahmedjl2x,1.45E+18,2021-10-12 06:57:05+00:00,The whole game could have been avoided ☠️ #SquidGame #SquidGames https://t.co/OtPzWkq7Lj
ahmedjl2x,1.45E+18,2021-10-12 06:56:17+00:00,I've just watched episode S01  E08 of Squid Game! #squidgames #tvtime https://t.co/83BtQGgw5F #tvtime https://t.co/FTrV18QoAV
ahmedjl2x,1.45E+18,2021-10-12 06:55:35+00:00,Late from the trend but still wanna try...my edit entry... #twice #SquidGames  #NAYEON #nayeononsquidgame… https://t.co/FLEhuiqaGq
ahmedjl2x,1.45E+18,2021-10-12 06:54:32+00:00,"There are already more than 10 games on SQUID GAMES, on Play Store!💯
#SquidGame #SquidGames #mobilegames"
ahmedjl2x,1.45E+18,2021-10-12 06:53:59+00:00,Late from the trend but still wanna try...my edit entry... #twice #SquidGames  #Mina #Minaonsquidgame #twicemina… https://t.co/3rgmD9teoy
ahmedjl2x,1.45E+18,2021-10-12 06:53:54+00:00,"I Hated This Show At First. Horrible Acting, But #SquidGames Got Me In A ChokeholdI Wanna Go To Bed But I Gotsta Finish This."
ahmedjl2x,1.45E+18,2021-10-12 06:53:08+00:00,@kennthedegen Amazing Job again! @mmccsolana love the  @TrippyBunnyNFT @0x_fxnction !! Trippy bunny NFTs require a… https://t.co/OuVAH3CQuB
ahmedjl2x,1.45E+18,2021-10-12 06:51:40+00:00,"Whoever created squid games 
GO
TO
HELL .
#SquidGames #SquidGamesNetflix #whackassending"
ahmedjl2x,1.45E+18,2021-10-12 06:51:00+00:00,"Una nueva y contundente patada a la proverbial piedra bajo la que se esconden trillones de expertos.
#TAV… https://t.co/bPz92BYp8Y"
ahmedjl2x,1.45E+18,2021-10-12 06:50:40+00:00,OK BUT IMAGINE IF A DANCE TEAM DOES THESE OUTFITS FOR A DANCE VIDEO AND THEN AT THE END ONE TAKES OFF THE MASK AND… https://t.co/fjc2yCB6SG
ahmedjl2x,1.45E+18,2021-10-12 06:47:59+00:00,"@ANI ""Aao sab khele Green Light Red Light yeh khel hai neerala""

Yeh wala game khelo sir signal pe public ke sath p… https://t.co/C8hG8O6Y6j"
ahmedjl2x,1.45E+18,2021-10-12 06:47:23+00:00,"🥷🥷Welcome to #SquidGames  
무궁화 꽃이 피었습니다

#3dprinting #BTS #korean #squidgamefanart #SquidGamememes… https://t.co/VWAnGN5KtN"
ahmedjl2x,1.45E+18,2021-10-12 06:44:53+00:00,#SquidGames really did a number on me.
ahmedjl2x,1.45E+18,2021-10-12 06:43:10+00:00,"#Squidgames è una cagata pazzesca

Dopo i primi 2 episodi mi rifiuto di proseguire."
ahmedjl2x,1.45E+18,2021-10-12 06:42:40+00:00,"#SquidGames 
#Procreate https://t.co/zyP8nTKxfO"
ahmedjl2x,1.45E+18,2021-10-12 06:40:56+00:00,"@meekmill had a little something to say.. What do you think?

Facts or nah?

#meekmill #squidgames #yentaroom… https://t.co/0pMX1zH0CN"
ahmedjl2x,1.45E+18,2021-10-12 06:36:20+00:00,"Have you tried the $AERGO based eVoting app Pikkle?

Latest poll is about #SquidGames 

Pikkle is a voting platform… https://t.co/OcpcMOtMyO"
ahmedjl2x,1.45E+18,2021-10-12 06:36:01+00:00,"Which button do you choose?

If you know, you know. (If you don't, you can still play the game)

#Homebargains… https://t.co/FwSkwEOstI"
